feature,importance,std,group
prod_tok_wcam,0.001080798610856425,0.0018833431386148917,non-CAZyme
prod_tok_isomerase,0.0010679364948147677,0.00178020710787536,non-CAZyme
prod_tok_mannose,0.0009327264147197748,0.0012375539262807506,non-CAZyme
prod_tok_transaminase,0.0008711380734398312,0.0010226356001945469,non-CAZyme
prod_tok_phosphogluconate,0.0008488085512233504,0.0006859735766355932,non-CAZyme
prod_tok_nadp,0.0008060742985163742,0.0008518816261598332,non-CAZyme
prod_tok_phosphomannomutase,0.0007638042683633256,0.0008636561957251259,non-CAZyme
prod_tok_undecaprenyl,0.0007208406125876193,0.0008418820523988622,non-CAZyme
kw_kinase,0.0006851587723037759,0.0015264220119326074,non-CAZyme
prod_tok_wcal,0.000684488937441808,0.0008730236868662585,non-CAZyme
prod_tok_transferase,0.0006836685542065436,0.0008752511366317717,non-CAZyme
prod_tok_acid,0.0006528839837460221,0.0008535574016903092,non-CAZyme
locus_GT100,0.0006421166893908351,0.0011193386509883647,CAZyme
prod_tok_pyruvyl,0.0005660251457382962,0.0008510671197148699,non-CAZyme
prod_tok_histidinol,0.0005126227923952845,0.0007421925904616064,non-CAZyme
prod_tok_glucose,0.0004811115445170666,0.0008836143528645875,non-CAZyme
prod_tok_colanic,0.00047397045892479307,0.0007744905812863092,non-CAZyme
prod_tok_wcak,0.0004469913501429869,0.0008396232223902144,non-CAZyme
prod_tok_bifunctional,0.00039851192165679845,0.0009906904573117957,non-CAZyme
locus_GT26,0.00037829449208748404,0.0011840302177347848,CAZyme
prod_tok_amp,0.00030796311572722665,0.0007313289783272972,non-CAZyme
prod_tok_phosphatase,0.00027346335914131564,0.0006654753298819256,non-CAZyme
prod_tok_hisf,0.00018915422318013062,0.0002404885280558999,non-CAZyme
prod_tok_methylideneamino,0.00018379031128695097,0.00032131347296478224,non-CAZyme
prod_tok_carboxamide,0.00018036884014656398,0.0002758312583851586,non-CAZyme
prod_tok_hish,0.00013923457114166227,0.00019532264217189262,non-CAZyme
prod_tok_phosphoribosyl,0.00011761610720051315,0.0001465307283905666,non-CAZyme
prod_tok_imidazole,0.00010504593092893837,0.00016595360855530336,non-CAZyme
prod_tok_phosphoribosylamino,9.287010701827185e-05,0.00015631728843688836,non-CAZyme
locus_GT52,7.613745815279766e-05,0.0002745175093534057,CAZyme
locus_GH_total,1.426612038580169e-05,5.14372285529501e-05,CAZyme
locus_GT111,0.0,0.0,CAZyme
locus_GT113,0.0,0.0,CAZyme
prod_tok_glycosyltransferase,0.0,0.0,non-CAZyme
locus_GH28,0.0,0.0,CAZyme
locus_GT6,0.0,0.0,CAZyme
locus_GT94,0.0,0.0,CAZyme
locus_GH177,0.0,0.0,CAZyme
